theme,rank,title,award,is_oral,public_total_votes,visits_last_7_days,github_stars,score,official_topic,url,alphaxiv_url
Interpretability and mechanistic analysis,7,"Is Your LLM Overcharging You? Tokenization, Transparency, and Incentives",,true,6,3,5,1.8701,"Social Aspects->Accountability, Transparency, and Interpretability",https://icml.cc/virtual/2026/poster/63083,https://www.alphaxiv.org/abs/2505.21627
Interpretability and mechanistic analysis,8,Prescriptive Scaling Reveals the Evolution of Language Model Capabilities,,true,51,17,2,1.8048,General Machine Learning->Methodology,https://icml.cc/virtual/2026/poster/64901,https://www.alphaxiv.org/abs/2602.15327
Interpretability and mechanistic analysis,9,Guaranteed Optimal Compositional Explanations for Neurons,,true,5,2,3,1.7862,"Social Aspects->Accountability, Transparency, and Interpretability",https://icml.cc/virtual/2026/poster/64551,https://www.alphaxiv.org/abs/2511.20934
Interpretability and mechanistic analysis,10,Learning to Theorize the World from Observation,,true,56,94,0,1.7216,Deep Learning->Other Representation Learning,https://icml.cc/virtual/2026/poster/60765,https://www.alphaxiv.org/abs/2605.03413
Interpretability and mechanistic analysis,11,A Systematic Study of Behavioral Cloning for Scientific Data Annotation,,true,1,34,1,1.6976,Applications->Everything Else,https://icml.cc/virtual/2026/poster/63687,https://www.alphaxiv.org/abs/2606.07568
Interpretability and mechanistic analysis,12,Activation Oracles: Training and Evaluating LLMs as General-Purpose Activation Explainers,,true,75,49,0,1.666,"Social Aspects->Accountability, Transparency, and Interpretability",https://icml.cc/virtual/2026/poster/65446,https://www.alphaxiv.org/abs/2512.15674
"AI for science, health, and biology",1,Reinforcement Learning with Evolving Rubrics for Deep Research,,true,201,154,682,3.2887,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65886,https://www.alphaxiv.org/abs/2511.19399
"AI for science, health, and biology",2,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,,true,89,40,1228,3.0889,,https://icml.cc/virtual/2026/poster/63095,https://www.alphaxiv.org/abs/2511.19900
"AI for science, health, and biology",3,Distributional Inverse Reinforcement Learning,,true,5,6,474,2.7484,Reinforcement Learning->Inverse,https://icml.cc/virtual/2026/poster/63146,https://www.alphaxiv.org/abs/2510.03013
"AI for science, health, and biology",4,Reinforcement Learning via Self-Distillation,,false,718,334,1008,2.7426,Deep Learning->Algorithms,https://icml.cc/virtual/2026/poster/64121,https://www.alphaxiv.org/abs/2601.20802
"AI for science, health, and biology",5,Protein Autoregressive Modeling via Multiscale Structure Generation,,true,31,49,81,2.4988,"Applications->Chemistry, Physics, and Earth Sciences",https://icml.cc/virtual/2026/poster/66808,https://www.alphaxiv.org/abs/2602.04883
"AI for science, health, and biology",6,SoftJAX & SoftTorch: Empowering Automatic Differentiation Libraries with Informative Gradients,,true,12,0,88,2.411,General Machine Learning->Hardware and Software,https://icml.cc/virtual/2026/poster/64057,https://www.alphaxiv.org/abs/2603.08824
"AI for science, health, and biology",7,daVinci-Dev: Agent-native Mid-training for Software Engineering,,true,52,48,9,2.0994,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/63099,https://www.alphaxiv.org/abs/2601.18418
"AI for science, health, and biology",8,Orthogonal Concept Erasure for Diffusion Models,,true,9,19,12,2.0552,Social Aspects->Safety,https://icml.cc/virtual/2026/poster/63634,https://www.alphaxiv.org/abs/2605.28902
"AI for science, health, and biology",9,Protein Fold Classification at Scale: Benchmarking and Pretraining,,true,2,17,12,2.0441,"Applications->Chemistry, Physics, and Earth Sciences",https://icml.cc/virtual/2026/poster/62145,https://www.alphaxiv.org/abs/2605.18552
"AI for science, health, and biology",10,Learning to Discover at Test Time,,false,529,174,297,2.0183,,https://icml.cc/virtual/2026/poster/65888,https://www.alphaxiv.org/abs/2601.16175
"AI for science, health, and biology",11,From geometry to dynamics: Learning overdamped Langevin dynamics from sparse observations with geometric constraints,,false,2,1,17294,1.9555,"General Machine Learning->Sequential, Network, and Time Series Modeling",https://icml.cc/virtual/2026/poster/60982,https://www.alphaxiv.org/abs/2512.23566
"AI for science, health, and biology",12,Training-Free Bayesian Filtering with Generative Emulators,,true,2,4,6,1.8982,"Applications->Chemistry, Physics, and Earth Sciences",https://icml.cc/virtual/2026/poster/62217,https://www.alphaxiv.org/abs/2605.20028
Causality and data-centric ML,1,Motion Attribution for Video Generation,Outstanding Paper Honorable Mention,true,67,208,0,5.9276,Deep Learning->Foundation Models,https://icml.cc/virtual/2026/poster/60542,https://www.alphaxiv.org/abs/2601.08828
Causality and data-centric ML,2,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),Outstanding Position Paper Honorable Mention,true,0,0,0,5.5,Social Aspects->Safety,https://icml.cc/virtual/2026/poster/67084,
Causality and data-centric ML,3,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,,true,14,39,5069,3.288,Applications->Robotics,https://icml.cc/virtual/2026/poster/66596,https://www.alphaxiv.org/abs/2605.22671
Causality and data-centric ML,4,Monitoring Monitorability,,true,28,17,2786,3.1463,,https://icml.cc/virtual/2026/poster/62992,https://www.alphaxiv.org/abs/2512.18311
Causality and data-centric ML,5,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,,true,89,40,1228,3.0889,,https://icml.cc/virtual/2026/poster/63095,https://www.alphaxiv.org/abs/2511.19900
Causality and data-centric ML,6,VenusBench-Mobile: A Challenging and User-Centric Benchmark for Mobile GUI Agents with Capability Diagnostics,,true,0,13,1013,2.9064,Deep Learning->Foundation Models,https://icml.cc/virtual/2026/poster/62831,https://www.alphaxiv.org/abs/2604.06182
Causality and data-centric ML,7,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,,true,60,17,644,2.8889,,https://icml.cc/virtual/2026/poster/64095,https://www.alphaxiv.org/abs/2512.22737
Causality and data-centric ML,8,Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence,,true,52,21,356,2.7686,Applications->Computer Vision,https://icml.cc/virtual/2026/poster/63725,https://www.alphaxiv.org/abs/2603.07660
Causality and data-centric ML,9,Any-Order GPT as Masked Diffusion Model: Decoupling Formulation and Architecture,,true,37,11,36,2.2817,Deep Learning->Generative Models and Autoencoders,https://icml.cc/virtual/2026/poster/61245,https://www.alphaxiv.org/abs/2506.19935
Causality and data-centric ML,10,Mechanistic Data Attribution: Tracing the Training Origins of Interpretable LLM Units,,true,48,18,16,2.1501,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/64259,https://www.alphaxiv.org/abs/2601.21996
Causality and data-centric ML,11,CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal,,true,2,4,20,2.1179,Applications->Computer Vision,https://icml.cc/virtual/2026/poster/65005,https://www.alphaxiv.org/abs/2603.21901
Causality and data-centric ML,12,RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation,,false,91,55,2562,1.7636,,https://icml.cc/virtual/2026/poster/62192,https://www.alphaxiv.org/abs/2506.18088
Robotics and world models,1,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,,true,14,39,5069,3.288,Applications->Robotics,https://icml.cc/virtual/2026/poster/66596,https://www.alphaxiv.org/abs/2605.22671
Robotics and world models,2,RoboMME: Benchmarking and Understanding Memory for Robotic Generalist Policies,,true,66,110,31,2.4529,Applications->Robotics,https://icml.cc/virtual/2026/poster/65933,https://www.alphaxiv.org/abs/2603.04639
Robotics and world models,3,From Pixels to Tokens: A Systematic Study of Latent Action Supervision for Vision-Language-Action Models,,true,30,20,35,2.2838,Applications->Robotics,https://icml.cc/virtual/2026/poster/63621,https://www.alphaxiv.org/abs/2605.04678
Robotics and world models,4,LaST$_{0}$: Latent Spatio-Temporal Chain-of-Thought for Robotic Vision-Language-Action Model,,false,73,25,5063,1.8289,Applications->Robotics,https://icml.cc/virtual/2026/poster/61887,https://www.alphaxiv.org/abs/2601.05248
Robotics and world models,5,Agent Learning via Early Experience,,false,532,122,148,1.7945,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/64488,https://www.alphaxiv.org/abs/2510.08558
Robotics and world models,6,RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation,,false,91,55,2562,1.7636,,https://icml.cc/virtual/2026/poster/62192,https://www.alphaxiv.org/abs/2506.18088
Robotics and world models,7,Hydra-Nav: Object Navigation via Adaptive Dual-Process Reasoning,,false,15,3,5063,1.7276,Applications->Robotics,https://icml.cc/virtual/2026/poster/61357,https://www.alphaxiv.org/abs/2602.09972
Robotics and world models,8,Turbo4DGen: Ultra-Fast Acceleration for 4D Generation,,false,0,0,4818,1.6961,Deep Learning->Generative Models and Autoencoders,https://icml.cc/virtual/2026/poster/62276,https://www.alphaxiv.org/abs/2603.29572
Robotics and world models,9,Pretrained Vision-Language-Action Models are Surprisingly Resistant to Forgetting in Continual Learning,,true,98,48,0,1.6896,,https://icml.cc/virtual/2026/poster/63561,https://www.alphaxiv.org/abs/2603.03818
Robotics and world models,10,XR-1: Towards Versatile Vision-Language-Action Models via Learning Unified Vision-Motion Representations,,true,19,28,0,1.5686,Applications->Robotics,https://icml.cc/virtual/2026/poster/64826,https://www.alphaxiv.org/abs/2511.02776
Robotics and world models,11,DADP: Domain Adaptive Diffusion Policy,,false,5,10,1969,1.5397,Reinforcement Learning->Batch/Offline,https://icml.cc/virtual/2026/poster/63942,https://www.alphaxiv.org/abs/2602.04037
Robotics and world models,12,Learning Human-Robot Collaboration via Heterogeneous-Agent Lyapunov Policy Optimization,,true,10,11,0,1.5297,Applications->Robotics,https://icml.cc/virtual/2026/poster/61049,https://www.alphaxiv.org/abs/2603.03741
Diffusion language models,1,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,Outstanding Paper Award,true,92,588,212,7.6736,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165
Diffusion language models,2,Motion Attribution for Video Generation,Outstanding Paper Honorable Mention,true,67,208,0,5.9276,Deep Learning->Foundation Models,https://icml.cc/virtual/2026/poster/60542,https://www.alphaxiv.org/abs/2601.08828
Diffusion language models,3,WeDLM: Reconciling Diffusion Language Models with Standard Causal Attention for Fast Inference,,true,60,17,644,2.8889,,https://icml.cc/virtual/2026/poster/64095,https://www.alphaxiv.org/abs/2512.22737
Diffusion language models,4,Holi-Spatial: Evolving Video Streams into Holistic 3D Spatial Intelligence,,true,52,21,356,2.7686,Applications->Computer Vision,https://icml.cc/virtual/2026/poster/63725,https://www.alphaxiv.org/abs/2603.07660
Diffusion language models,5,DFlash: Block Diffusion for Flash Speculative Decoding,,false,153,272,5451,2.3519,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/64301,https://www.alphaxiv.org/abs/2602.06036
Diffusion language models,6,Any-Order GPT as Masked Diffusion Model: Decoupling Formulation and Architecture,,true,37,11,36,2.2817,Deep Learning->Generative Models and Autoencoders,https://icml.cc/virtual/2026/poster/61245,https://www.alphaxiv.org/abs/2506.19935
Diffusion language models,7,Learning Unmasking Policies for Diffusion Language Models,,true,44,67,16,2.2291,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65277,https://www.alphaxiv.org/abs/2512.09106
Diffusion language models,8,CLEAR: Context-Aware Learning with End-to-End Mask-Free Inference for Adaptive Subtitle Removal,,true,2,4,20,2.1179,Applications->Computer Vision,https://icml.cc/virtual/2026/poster/65005,https://www.alphaxiv.org/abs/2603.21901
Diffusion language models,9,Protein Fold Classification at Scale: Benchmarking and Pretraining,,true,2,17,12,2.0441,"Applications->Chemistry, Physics, and Earth Sciences",https://icml.cc/virtual/2026/poster/62145,https://www.alphaxiv.org/abs/2605.18552
Diffusion language models,10,SAM Audio: Segment Anything in Audio,,false,65,26,3567,1.7518,"Applications->Language, Speech and Dialog",https://icml.cc/virtual/2026/poster/64195,https://www.alphaxiv.org/abs/2512.18099
Diffusion language models,11,Alterbute: Editing Intrinsic Attributes of Objects in Images,,false,23,1,1969,1.5442,Applications->Computer Vision,https://icml.cc/virtual/2026/poster/62221,https://www.alphaxiv.org/abs/2601.10714
Diffusion language models,12,Causal-JEPA: Learning World Models through Object-Level Latent Interventions,,false,150,99,206,1.4002,Deep Learning->Self-Supervised Learning,https://icml.cc/virtual/2026/poster/63623,https://www.alphaxiv.org/abs/2602.11389
Other / uncategorized,1,"ConFlux: Multivariate Time Series in Flux, One Unified Forecast in Confluence",,true,0,0,0,1.5,Applications->Time Series,https://icml.cc/virtual/2026/poster/61370,
Other / uncategorized,2,mmBERT: A Modern Multilingual Encoder with Annealed Language Learning,,false,30,1,144,1.0301,Deep Learning->Foundation Models,https://icml.cc/virtual/2026/poster/62254,https://www.alphaxiv.org/abs/2509.06888
Other / uncategorized,3,Adaptive Node Feature Selection for Graph Neural Networks,,false,5,0,91,0.9099,Deep Learning->Graph Neural Networks,https://icml.cc/virtual/2026/poster/63825,https://www.alphaxiv.org/abs/2510.03096
Other / uncategorized,4,DAG: A Dual Correlation Network for Time Series Forecasting with Exogenous Variables,,false,10,0,45,0.7767,Applications->Time Series,https://icml.cc/virtual/2026/poster/62103,https://www.alphaxiv.org/abs/2509.14933
Other / uncategorized,5,Orthogonal Model Merging,,false,26,6,32,0.7382,"General Machine Learning->Transfer, Multitask and Meta-learning",https://icml.cc/virtual/2026/poster/61531,https://www.alphaxiv.org/abs/2602.05943
Other / uncategorized,6,LUCID: Attention with Preconditioned Representations,,false,26,0,12,0.5416,Deep Learning->Attention Mechanisms,https://icml.cc/virtual/2026/poster/66721,https://www.alphaxiv.org/abs/2602.10410
Other / uncategorized,7,Learn-to-learn on Arbitrary Textual Conditioning: A Hypernetwork-Driven Meta-gated LLM,,false,9,3,6,0.4042,"General Machine Learning->Transfer, Multitask and Meta-learning",https://icml.cc/virtual/2026/poster/63102,https://www.alphaxiv.org/abs/2605.01973
Other / uncategorized,8,Universal Approximation with Softmax Attention,,false,54,2,2,0.2826,Deep Learning->Attention Mechanisms,https://icml.cc/virtual/2026/poster/65097,https://www.alphaxiv.org/abs/2504.15956
Other / uncategorized,9,What Information Matters? Graph Out-of-Distribution Detection via Tri-Component Information Decomposition,,false,1,0,2,0.2208,Deep Learning->Graph Neural Networks,https://icml.cc/virtual/2026/poster/60619,https://www.alphaxiv.org/abs/2605.13032
Other / uncategorized,10,LLM-based Embeddings: Attention Values Encode Sentence Semantics Better Than Hidden States,,false,14,5,0,0.0239,Deep Learning->Other Representation Learning,https://icml.cc/virtual/2026/poster/61764,https://www.alphaxiv.org/abs/2602.01572
Other / uncategorized,11,Predicting Large Model Test Losses with a Noisy Quadratic System,,false,1,7,0,0.013,Deep Learning->Foundation Models,https://icml.cc/virtual/2026/poster/65065,https://www.alphaxiv.org/abs/2605.09154
Other / uncategorized,12,Graph is a Substrate Across Data Modalities,,false,10,0,0,0.011,Deep Learning->Foundation Models,https://icml.cc/virtual/2026/poster/66111,https://www.alphaxiv.org/abs/2601.22384
