theme,rank,title,award,is_oral,public_total_votes,visits_last_7_days,github_stars,score,official_topic,url,alphaxiv_url
"Safety, alignment, governance, and risk",3,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),Outstanding Position Paper Honorable Mention,true,0,0,0,5.5,Social Aspects->Safety,https://icml.cc/virtual/2026/poster/67084,
"Safety, alignment, governance, and risk",4,From Abstraction to Instantiation: Learning Behavioral Representation for Vision-Language-Action Model,,true,14,39,5069,3.288,Applications->Robotics,https://icml.cc/virtual/2026/poster/66596,https://www.alphaxiv.org/abs/2605.22671
"Safety, alignment, governance, and risk",5,Maximum Likelihood Reinforcement Learning,,true,259,100,194,3.0101,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65332,https://www.alphaxiv.org/abs/2602.02710
"Safety, alignment, governance, and risk",6,Distributional Inverse Reinforcement Learning,,true,5,6,474,2.7484,Reinforcement Learning->Inverse,https://icml.cc/virtual/2026/poster/63146,https://www.alphaxiv.org/abs/2510.03013
"Safety, alignment, governance, and risk",7,Simultaneous Speech-to-Speech Translation Without Aligned Data,,true,27,8,260,2.6563,"Applications->Language, Speech and Dialog",https://icml.cc/virtual/2026/poster/66094,https://www.alphaxiv.org/abs/2602.11072
"Safety, alignment, governance, and risk",8,CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability,,true,21,41,139,2.5812,Applications->Everything Else,https://icml.cc/virtual/2026/poster/65622,https://www.alphaxiv.org/abs/2602.03012
"Safety, alignment, governance, and risk",9,FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU,,true,5,2,207,2.5764,General Machine Learning->Scalable Algorithms,https://icml.cc/virtual/2026/poster/63564,https://www.alphaxiv.org/abs/2602.03067
"Safety, alignment, governance, and risk",10,Jailbreak Foundry: From Papers to Runnable Attacks for Reproducible Benchmarking,,true,9,8,158,2.5373,Social Aspects->Safety,https://icml.cc/virtual/2026/poster/65657,https://www.alphaxiv.org/abs/2602.24009
"Safety, alignment, governance, and risk",11,Protein Autoregressive Modeling via Multiscale Structure Generation,,true,31,49,81,2.4988,"Applications->Chemistry, Physics, and Earth Sciences",https://icml.cc/virtual/2026/poster/66808,https://www.alphaxiv.org/abs/2602.04883
"Safety, alignment, governance, and risk",12,When the Prompt Becomes Visual: Vision-Centric Jailbreak Attacks for Large Image Editing Models,,true,8,7,25,2.1723,Social Aspects->Safety,https://icml.cc/virtual/2026/poster/60813,https://www.alphaxiv.org/abs/2602.10179
LLM reasoning and test-time compute,1,The Flexibility Trap: Rethinking the Value of Arbitrary Order in Diffusion Language Models,Outstanding Paper Award,true,92,588,212,7.6736,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/61998,https://www.alphaxiv.org/abs/2601.15165
LLM reasoning and test-time compute,2,High-accuracy sampling for diffusion models and log-concave distributions,Outstanding Paper Award,true,9,183,0,5.8211,Probabilistic Methods->Monte Carlo and Sampling Methods,https://icml.cc/virtual/2026/poster/65132,https://www.alphaxiv.org/abs/2602.01338
LLM reasoning and test-time compute,3,Process Reward Models That Think,,false,1815,361,89,3.5139,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/68817,https://www.alphaxiv.org/abs/2504.16828
LLM reasoning and test-time compute,4,Reinforcement Learning with Evolving Rubrics for Deep Research,,true,201,154,682,3.2887,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/65886,https://www.alphaxiv.org/abs/2511.19399
LLM reasoning and test-time compute,5,$\tau^2$-Bench: Evaluating Conversational Agents in a Dual-Control Environment,,true,89,91,1569,3.2246,Deep Learning->Large Language Models,https://icml.cc/virtual/2026/poster/64377,https://www.alphaxiv.org/abs/2506.07982
LLM reasoning and test-time compute,6,Monitoring Monitorability,,true,28,17,2786,3.1463,,https://icml.cc/virtual/2026/poster/62992,https://www.alphaxiv.org/abs/2512.18311
LLM reasoning and test-time compute,7,Agent0-VL: Exploring Self-Evolving Agent for Tool-Integrated Vision-Language Reasoning,,true,89,40,1228,3.0889,,https://icml.cc/virtual/2026/poster/63095,https://www.alphaxiv.org/abs/2511.19900
