area,year,arxiv_count,query_terms,query,status
"Agents, Code, and Tool Use",2026,34688,"agent; agents; ""tool use""; ""software engineering""; code; ""web agent""","(all:agent OR all:agents OR all:""tool use"" OR all:""software engineering"" OR all:code OR all:""web agent"") AND submittedDate:[202601010000 TO 202607142359]",ok
"Graphs, Geometry, and Representation Learning",2024,33697,"""graph neural network""; GNN; equivariant; geometric; manifold; representation","(all:""graph neural network"" OR all:GNN OR all:equivariant OR all:geometric OR all:manifold OR all:representation) AND submittedDate:[202401010000 TO 202412312359]",ok
"Graphs, Geometry, and Representation Learning",2025,43556,"""graph neural network""; GNN; equivariant; geometric; manifold; representation","(all:""graph neural network"" OR all:GNN OR all:equivariant OR all:geometric OR all:manifold OR all:representation) AND submittedDate:[202501010000 TO 202512312359]",ok
"Graphs, Geometry, and Representation Learning",2026,33965,"""graph neural network""; GNN; equivariant; geometric; manifold; representation","(all:""graph neural network"" OR all:GNN OR all:equivariant OR all:geometric OR all:manifold OR all:representation) AND submittedDate:[202601010000 TO 202607142359]",ok
Generative Modeling,2024,14805,"diffusion; ""flow matching""; ""generative model""; ""score based""; ""image generation""; ""video generation""","(all:diffusion OR all:""flow matching"" OR all:""generative model"" OR all:""score based"" OR all:""image generation"" OR all:""video generation"") AND submittedDate:[202401010000 TO 202412312359]",ok
Generative Modeling,2025,19559,"diffusion; ""flow matching""; ""generative model""; ""score based""; ""image generation""; ""video generation""","(all:diffusion OR all:""flow matching"" OR all:""generative model"" OR all:""score based"" OR all:""image generation"" OR all:""video generation"") AND submittedDate:[202501010000 TO 202512312359]",ok
Generative Modeling,2026,13166,"diffusion; ""flow matching""; ""generative model""; ""score based""; ""image generation""; ""video generation""","(all:diffusion OR all:""flow matching"" OR all:""generative model"" OR all:""score based"" OR all:""image generation"" OR all:""video generation"") AND submittedDate:[202601010000 TO 202607142359]",ok
Reinforcement Learning and Control,2024,35864,"""reinforcement learning""; ""offline reinforcement learning""; control; policy; MDP","(all:""reinforcement learning"" OR all:""offline reinforcement learning"" OR all:control OR all:policy OR all:MDP) AND submittedDate:[202401010000 TO 202412312359]",ok
Reinforcement Learning and Control,2025,50950,"""reinforcement learning""; ""offline reinforcement learning""; control; policy; MDP","(all:""reinforcement learning"" OR all:""offline reinforcement learning"" OR all:control OR all:policy OR all:MDP) AND submittedDate:[202501010000 TO 202512312359]",ok
Reinforcement Learning and Control,2026,41513,"""reinforcement learning""; ""offline reinforcement learning""; control; policy; MDP","(all:""reinforcement learning"" OR all:""offline reinforcement learning"" OR all:control OR all:policy OR all:MDP) AND submittedDate:[202601010000 TO 202607142359]",ok
"Robotics, Embodiment, and World Models",2024,14691,"robot; robotics; embodied; ""world model""; ""vision language action""; manipulation","(all:robot OR all:robotics OR all:embodied OR all:""world model"" OR all:""vision language action"" OR all:manipulation) AND submittedDate:[202401010000 TO 202412312359]",ok
"Robotics, Embodiment, and World Models",2025,18172,"robot; robotics; embodied; ""world model""; ""vision language action""; manipulation","(all:robot OR all:robotics OR all:embodied OR all:""world model"" OR all:""vision language action"" OR all:manipulation) AND submittedDate:[202501010000 TO 202512312359]",ok
"Robotics, Embodiment, and World Models",2026,12701,"robot; robotics; embodied; ""world model""; ""vision language action""; manipulation","(all:robot OR all:robotics OR all:embodied OR all:""world model"" OR all:""vision language action"" OR all:manipulation) AND submittedDate:[202601010000 TO 202607142359]",ok
